Response ID,Response started,Response completed,RD1 - Please select the role most applicable to you:,RD2 - How many years of previous programming experience do you have?,RD3 - Do you have any prior experience with Programmable Logic Controllers?,RD4 - Which programming languages do you use to write code for Programmable Logic Controllers?,"W1 - Suppose the following automation task containing two switches and one motor, where to turn the motor ON, both switches must be ON. The possible states for the elements of this task can be described by the table and illustration below:     Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R1 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W2 - Suppose the following automation task containing two buttons and one light bulb, where to turn the light bulb ON, at least one button must be OFF. The possible states for the elements of this task can be described by the table and illustration below:   Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R2 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W3 - Suppose the following automation task containing two buttons and one light bulb, where to turn the light ON both buttons must be OFF. The possible states for the elements of this task can be described by the table and illustration below: Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R3 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W4 - Suppose the following automation task containing two buttons and one light bulb, where for the light to be ON, the two buttons must keep in the same state. The possible states for the elements of this task can be described by the table and illustration below:  Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R4 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W5 - Suppose the following automation task containing two switches and one sprinkler, where to turn the sprinkler ON, the two switches must be in opposite states. In other words, while one switch is ON, the other must be OFF to activate the sprinkler. The possible states for the elements of this task can be described by the table and illustration below: Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R5 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","Q1 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I think that I would like to use Ladder Logic frequently.]","Q2 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found Ladder Logic unnecessarily complex.]","Q3 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I thought that Ladder Logic was easy to use.]","Q4 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I think that I would need assistance to be able to use Ladder Logic.]","Q5 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found the various functions in Ladder Logic were well integrated.]","Q6 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I thought there was too much inconsistency in Ladder Logic.]","Q7 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I would imagine that most people would learn to use Ladder Logic very quickly.]","Q8 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found Ladder Logic very cumbersome/awkward to use.]","Q9 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I felt very confident using Ladder Logic.]","Q10 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I needed to learn a lot of things before I could get going with Ladder Logic.]",OQ - What is your opinion about Ladder Logic? Feel free to provide any thoughts about this language or click on the 'Submit' button to submit your answer.
3HbOzVBv,"Jun 15, 2020 11:17:24 PM","Jun 15, 2020 11:39:21 PM",Engineer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC),Other","2 - Correct structure and symbols, wrong labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,5,5,2,4,2,5,2,5,3,Easy to use for progamming and consistent among all users.
uKBoWIDA,"Jun 15, 2020 11:17:50 PM","Jun 16, 2020 12:06:10 AM",Engineer,5+ Years,No experience,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,2,3,3,4,2,4,3,I would prefer to use after some hands on. By going thru presentation I will prefer to use. In ABB August PLC they used ladder logic.
mVCsvQPa,"Jun 15, 2020 11:18:48 PM","Jun 15, 2020 11:34:56 PM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,1,5,1,3,2,4,3,4,2,"Ladder logic is easy to code, easy to learn.
I found a little difficult for troubleshooting but that is only when it is used for rare complex applications."
aYbvIY54,"Jun 15, 2020 11:20:32 PM","Jun 15, 2020 11:42:21 PM",Engineer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,4,3,1,4,3,2,4,3,1,LD is relatively simple and less powerful. I would prefer to use ST language since it is very powerful and interoperable across control systems (It is a plain text which can be copied between different control system software).
NAb2eVpz,"Jun 15, 2020 11:26:33 PM","Jun 16, 2020 03:45:30 AM",Engineer,3-5 Years,3-5 Years,Sequential function chart (SFC),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"7 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,2,1,3,3,2,3,2,2,4,
nNBoCExJ,"Jun 15, 2020 11:37:21 PM","Jun 15, 2020 11:51:37 PM",Engineer,5+ Years,No experience,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,1,1,5,1,5,1,5,2,
VVzHEUVE,"Jun 15, 2020 11:41:26 PM","Jun 16, 2020 12:02:51 AM",Software Developer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,3,4,2,3,3,5,1,4,3,Got training on LD in early days but never used in any project and as we are using FBD/ST language frequently so more comfortable with same.
SJzwoKjB,"Jun 16, 2020 12:17:44 AM","Jun 16, 2020 12:39:10 AM",Engineer,< 1 Year,< 1 Year,Ladder diagram (LD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels","Water Pump will never be turned ON, regardless the state of the input elements (Button and Water Level Detector).","5 - Wrong structure, symbols and labels",Light will be turned ON only when Button A is ON and button B is OFF.,"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, and the Test Button is OFF.","7 - Wrong structure, symbols and labels","Boiler will be turned ON when the Start Button and Stop Button are OFF, or when the Heat Sensor is ON.",3,4,4,3,3,4,3,3,3,5,
f0CNyxdn,"Jun 16, 2020 12:40:59 AM","Jun 16, 2020 12:58:22 AM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,5,1,3,2,5,3,5,2,
vDB3OsS1,"Jun 16, 2020 12:52:33 AM","Jun 16, 2020 01:22:29 AM",Engineer,3-5 Years,3-5 Years,"Ladder diagram (LD),Function block diagram (FBD)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,4,1,4,2,5,1,4,3,
oZCCM2GW,"Jun 16, 2020 01:38:21 AM","Jun 16, 2020 07:36:11 AM",Engineer,5+ Years,3-5 Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"2 - Correct structure and symbols, wrong labels","Water Pump will never be turned ON, regardless the state of the input elements (Button and Water Level Detector).","8 - Wrong structure, symbols and labels",Light will be turned ON only when Button A and Button B are OFF.,"3 - Correct structure and labels, wrong symbols","Alarm will be turned ON when at least one of the following elements is ON: Smoke Detector, Carbon Monoxide Detector or Test Button.","2 - Correct structure and symbols, wrong labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,4,2,4,3,3,3,3,3,3,
XbCCSqTb,"Jun 16, 2020 02:38:19 AM","Jun 16, 2020 03:31:55 AM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Instruction list (IL),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,3,3,1,4,3,4,2,4,2,"Ladder Logic, Is easy to use, Only we need to understand the flow of sequences , then it is easy to bit, if you are very found of Logical gates, it is easy to buit."
jMBU42fc,"Jun 16, 2020 03:36:29 AM","Jun 16, 2020 03:58:35 AM",Engineer,< 1 Year,< 1 Year,Ladder diagram (LD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"7 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,3,4,4,5,3,4,3,4,4,
knChirsJ,"Jun 16, 2020 03:39:04 AM","Jun 16, 2020 03:57:33 AM",Engineer,5+ Years,< 1 Year,"Function block diagram (FBD),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,4,2,3,4,2,2,4,3,2,
FhBoc6TY,"Jun 16, 2020 03:40:10 AM","Jun 16, 2020 04:13:09 AM",Technician,5+ Years,1-2 Years,Ladder diagram (LD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,1,3,3,4,5,1,5,5,Very simple and useful teaching. Thumbs up.
hgbRkZQD,"Jun 16, 2020 03:58:21 AM","Jun 16, 2020 04:14:59 AM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Instruction list (IL)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","2 - Correct structure and symbols, wrong labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,3,2,4,2,4,2,4,1,
MZzCs6wY,"Jun 16, 2020 04:00:17 AM","Jun 16, 2020 04:21:29 AM",Engineer,1-2 Years,1-2 Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,4,2,2,2,1,3,3,3,3,"As it was like basic programming that one learns in his academics, one will definitely have it's knowledge. but when there are more simplified and better languages that can be used in current scenario, no one wants to look towards ladder."
RgCCbCmq,"Jun 16, 2020 04:08:37 AM","Jun 16, 2020 04:30:22 AM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"7 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,1,5,1,5,1,5,5,
gvBoryF9,"Jun 16, 2020 05:32:20 AM","Jun 16, 2020 05:43:37 AM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Instruction list (IL),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,1,2,1,5,1,5,1,Ladder is a very graphical language that represents a visual wiring diagram that is logical and very easy to see and determine the function of the operations. For training support staff of equipment to trouble shoot a system it is one of the best tools available.
blCCU4hy,"Jun 16, 2020 06:07:35 AM","Jun 16, 2020 06:24:48 AM",Engineer,5+ Years,No experience,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","2 - Correct structure and symbols, wrong labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","4 - Correct structure, wrong labels and symbols","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,2,3,2,3,2,4,2,3,4,"It’s simple and easy to use, it’s just i never been used to ladder logic so finding it bit unfamiliar however my colleagues who used ladder logics, always admire it."
wxChKylE,"Jun 16, 2020 06:43:45 AM","Jun 16, 2020 07:14:50 AM",Software Developer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,3,1,5,1,5,1,5,2,
dLCN4SLZ,"Jun 16, 2020 08:23:06 AM","Jun 16, 2020 08:35:04 AM",Engineer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have the same state (ON and ON or OFF and OFF),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","5 - Wrong structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,3,3,3,3,2,3,3,3,
DFCNg7jI,"Jun 16, 2020 09:31:42 AM","Jun 16, 2020 09:53:27 AM",Engineer,3-5 Years,1-2 Years,Ladder diagram (LD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,2,4,4,4,3,4,2,4,4,
JmB36Fdf,"Jun 16, 2020 10:43:37 AM","Jun 16, 2020 10:59:57 AM",Engineer,5+ Years,No experience,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,3,3,1,2,3,4,2,3,1,"Ladder logic is good but when compared to FBD, I will go with FDB. In FBD, troubleshooting in program is easy when compared to ladder."
eHBo7hnt,"Jun 16, 2020 11:53:28 AM","Jun 16, 2020 12:00:56 PM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Instruction list (IL),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,2,,1,5,1,4,5,2,1,It takes too much space to program therefore is only suitable for very simple programs
WeBoYUVj,"Jun 16, 2020 11:54:40 AM","Jun 16, 2020 12:25:33 PM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC),Other","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"4 - Correct structure, wrong labels and symbols","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,4,3,1,3,1,5,2,4,3,
bzChuDUf,"Jun 16, 2020 12:31:42 PM","Jun 16, 2020 12:53:16 PM",Engineer,3-5 Years,3-5 Years,"Ladder diagram (LD),Function block diagram (FBD)","5 - Wrong structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels","Water Pump will never be turned ON, regardless the state of the input elements (Button and Water Level Detector).","3 - Correct structure and labels, wrong symbols",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"4 - Correct structure, wrong labels and symbols","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, and the Test Button is OFF.","6 - Wrong structure, symbols and labels","Boiler will never be turned ON, regardless the state of the input elements (Start Button, Stop Button and Heat Sensor).",5,4,3,4,4,3,3,2,3,3,
XHzxqyXH,"Jun 16, 2020 01:24:23 PM","Jun 16, 2020 01:41:36 PM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"3 - Correct structure and labels, wrong symbols","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,4,5,1,4,1,5,5,4,1,I think it is an esay way to make logic for security systems.
SCBUWXYE,"Jun 16, 2020 03:02:53 PM","Jun 16, 2020 03:21:11 PM",Engineer,5+ Years,< 1 Year,Function block diagram (FBD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"7 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,4,4,1,4,1,3,4,4,1,Take up too much space in a complex automation project. Function block much more user friendly especially during testing and online process
7nChK7Fs,"Jun 16, 2020 03:52:08 PM","Jun 16, 2020 04:00:31 PM",Engineer,5+ Years,5+ Years,Ladder diagram (LD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,2,5,1,1,1,5,1,5,1,
zkChQW0T,"Jun 16, 2020 08:21:09 PM","Jun 18, 2020 04:55:37 AM",Engineer,No programming experience,1-2 Years,Function block diagram (FBD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is ON.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","8 - Wrong structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,4,3,4,2,4,2,4,4,
